1: (HighCard, ['2', '3', 'T', '4', 'Q'])
55: (HighCard, ['7', '5', '4', '8', 'K'])
56: (HighCard, ['7', '6', '2', '9', 'A'])
57: (HighCard, ['7', '6', 'K', '9', '5'])
58: (HighCard, ['7', '8', 'A', '5', 'T'])
59: (HighCard, ['7', '9', '4', '5', 'T'])
60: (HighCard, ['7', '9', '4', 'T', '6'])
61: (HighCard, ['7', '9', '4', 'T', 'A'])
62: (HighCard, ['7', 'Q', '5', '9', '4'])
63: (HighCard, ['7', 'Q', '6', '2', '9'])
64: (HighCard, ['7', 'Q', '6', 'K', '2'])
65: (HighCard, ['7', 'Q', 'T', '8', '6'])
66: (HighCard, ['7', 'K', '2', '4', '9'])
67: (HighCard, ['7', 'K', 'A', '4', '2'])
68: (HighCard, ['7', 'A', '6', 'T', 'Q'])
69: (HighCard, ['8', '3', '6', 'T', 'K'])
70: (HighCard, ['8', '3', 'A', '6', '2'])
71: (HighCard, ['8', '6', '5', '4', 'T'])
72: (HighCard, ['8', '7', '2', '4', 'K'])
73: (HighCard, ['8', '7', 'K', '4', '9'])
74: (HighCard, ['8', '9', '2', '7', 'T'])
75: (HighCard, ['8', '9', '3', 'A', 'Q'])
76: (HighCard, ['8', '9', 'T', '5', 'A'])
77: (HighCard, ['8', 'T', '2', '3', 'A'])
78: (HighCard, ['8', 'T', 'K', 'Q', '7'])
79: (HighCard, ['8', 'Q', '7', '6', 'K'])
80: (HighCard, ['8', 'A', 'T', '4', '5'])
81: (HighCard, ['9', '2', '7', 'Q', 'T'])
82: (HighCard, ['9', '3', '5', 'Q', '4'])
83: (HighCard, ['9', '3', 'T', '6', '2'])
84: (HighCard, ['9', '4', '2', '7', '3'])
85: (HighCard, ['9', '4', 'T', '2', '8'])
86: (HighCard, ['9', '5', 'Q', '7', '8'])
87: (HighCard, ['9', '7', '8', '3', '2'])
88: (HighCard, ['9', 'T', '4', '3', 'Q'])
89: (HighCard, ['9', 'Q', '2', '6', '3'])
90: (HighCard, ['9', 'A', '2', '8', '6'])
91: (HighCard, ['T', '2', '5', '4', 'A'])
92: (HighCard, ['T', '2', '6', '5', '3'])
93: (HighCard, ['T', '4', '9', '5', 'Q'])
94: (HighCard, ['T', '5', '3', '2', '8'])
95: (HighCard, ['T', '5', '8', '3', 'K'])
96: (HighCard, ['T', '5', 'K', '9', '8'])
97: (HighCard, ['T', '5', 'A', '9', '7'])
98: (HighCard, ['T', '6', '3', '8', '5'])
99: (HighCard, ['T', '7', '3', 'K', '6'])
100: (HighCard, ['T', '9', '5', '7', '2'])
101: (HighCard, ['T', '9', 'A', '6', '7'])
102: (HighCard, ['T', 'Q', '5', '6', '7'])
103: (HighCard, ['T', 'A', '2', '5', '3'])
104: (HighCard, ['T', 'A', '3', '4', 'K'])
105: (HighCard, ['T', 'A', '3', '8', '5'])
106: (HighCard, ['Q', '7', '9', 'K', 'A'])
107: (HighCard, ['Q', '7', 'T', 'K', '4'])
108: (HighCard, ['Q', '9', '3', 'A', '5'])
109: (HighCard, ['Q', '9', '6', 'A', 'T'])
110: (HighCard, ['Q', 'T', '3', '2', 'K'])
111: (HighCard, ['Q', 'T', '4', '9', '2'])
112: (HighCard, ['Q', 'T', '5', '6', '3'])
113: (HighCard, ['Q', 'T', '8', '6', '9'])
114: (HighCard, ['Q', 'T', 'K', '8', '6'])
115: (HighCard, ['Q', 'K', '5', '4', '3'])
116: (HighCard, ['Q', 'A', '3', '9', '7'])
117: (HighCard, ['Q', 'A', '8', '6', '9'])
118: (HighCard, ['K', '3', '5', '4', 'A'])
119: (HighCard, ['K', '3', '6', '4', '7'])
120: (HighCard, ['K', '3', '8', '4', '5'])
121: (HighCard, ['K', '3', 'Q', 'A', '5'])
122: (HighCard, ['K', '5', '9', 'A', 'Q'])
123: (HighCard, ['K', '6', '2', '5', '8'])
124: (HighCard, ['K', '6', '2', '8', '7'])
125: (HighCard, ['K', '7', 'Q', 'A', '8'])
126: (HighCard, ['K', '8', 'Q', 'T', '5'])
127: (HighCard, ['K', '9', '7', '2', 'Q'])
128: (HighCard, ['K', 'T', 'A', '9', '6'])
129: (HighCard, ['K', 'Q', '2', '9', '3'])
130: (HighCard, ['A', '2', '8', 'T', '5'])
131: (HighCard, ['A', '7', '2', 'K', '5'])
132: (HighCard, ['A', '7', '3', 'T', '6'])
133: (HighCard, ['A', '8', '4', 'Q', 'T'])
134: (HighCard, ['A', '9', 'T', '3', '4'])
135: (HighCard, ['A', 'T', '6', 'K', '3'])
136: (HighCard, ['A', 'Q', '2', 'K', '7'])
137: (HighCard, ['A', 'Q', 'T', 'K', '2'])
138: (HighCard, ['A', 'K', '4', '7', '8'])
139: (OnePair, ['J', '2', '7', '5', '9'])
140: (OnePair, ['J', '2', 'K', '9', 'T'])
141: (OnePair, ['J', '3', '9', 'A', 'K'])
142: (OnePair, ['J', '7', '2', 'Q', '5'])
143: (OnePair, ['J', '9', 'K', '3', '8'])
144: (OnePair, ['J', 'T', '2', '3', '6'])
145: (OnePair, ['J', 'T', '2', 'K', '3'])
146: (OnePair, ['J', 'T', '4', '7', '9'])
147: (OnePair, ['J', 'Q', 'A', '9', '5'])
148: (OnePair, ['J', 'K', '4', 'A', '5'])
149: (OnePair, ['J', 'K', '6', 'A', 'Q'])
150: (OnePair, ['J', 'A', '3', '7', 'T'])
151: (OnePair, ['2', 'J', '9', '5', 'A'])
152: (OnePair, ['2', '2', '8', 'T', 'Q'])
153: (OnePair, ['2', '2', 'T', '6', '9'])
154: (OnePair, ['2', '4', '3', '7', '2'])
155: (OnePair, ['2', '4', 'K', '4', 'Q'])
156: (OnePair, ['2', '4', 'A', '8', 'J'])
157: (OnePair, ['2', '5', 'T', 'K', 'J'])
158: (OnePair, ['2', '6', '3', 'Q', '3'])
159: (OnePair, ['2', '6', 'Q', 'K', 'K'])
160: (OnePair, ['2', '7', '4', '3', '3'])
161: (OnePair, ['2', '8', '6', '9', '6'])
162: (OnePair, ['2', '8', 'T', '2', '5'])
163: (OnePair, ['2', '8', 'T', 'K', 'J'])
164: (OnePair, ['2', '9', '3', 'T', '9'])
165: (OnePair, ['2', 'T', '4', 'J', '9'])
166: (OnePair, ['2', 'T', '8', 'J', '4'])
167: (OnePair, ['2', 'K', 'T', 'A', 'A'])
168: (OnePair, ['2', 'K', 'K', '7', 'Q'])
169: (OnePair, ['2', 'A', 'A', '5', 'T'])
170: (OnePair, ['3', '2', '3', '9', '6'])
171: (OnePair, ['3', '3', '5', 'T', '6'])
172: (OnePair, ['3', '3', '8', '9', '7'])
173: (OnePair, ['3', '3', 'K', 'Q', '4'])
174: (OnePair, ['3', '7', 'J', 'A', '9'])
175: (OnePair, ['3', '8', '2', '9', 'J'])
176: (OnePair, ['3', '8', 'Q', '5', '5'])
177: (OnePair, ['3', '9', '7', '4', '9'])
178: (OnePair, ['3', 'T', '7', '7', '9'])
179: (OnePair, ['3', 'T', '8', '7', '8'])
180: (OnePair, ['3', 'Q', '5', '7', 'Q'])
181: (OnePair, ['3', 'Q', '8', 'K', '8'])
182: (OnePair, ['4', '3', '4', 'K', '9'])
183: (OnePair, ['4', '4', '2', '3', '7'])
184: (OnePair, ['4', '4', '6', 'A', '3'])
185: (OnePair, ['4', '4', 'K', 'A', '5'])
186: (OnePair, ['4', '5', 'J', '9', '7'])
187: (OnePair, ['4', '7', 'J', '6', '9'])
188: (OnePair, ['4', '7', 'A', 'A', '3'])
189: (OnePair, ['4', '8', '4', '6', '5'])
190: (OnePair, ['4', '9', 'J', '2', '6'])
191: (OnePair, ['4', '9', '2', '2', 'A'])
192: (OnePair, ['4', '9', '6', 'J', 'K'])
193: (OnePair, ['4', 'Q', '7', '3', '4'])
194: (OnePair, ['4', 'K', '5', '6', 'K'])
195: (OnePair, ['4', 'A', '3', '3', '9'])
196: (OnePair, ['4', 'A', '3', '6', 'A'])
197: (OnePair, ['4', 'A', 'T', '7', 'T'])
198: (OnePair, ['5', 'J', '3', '2', '9'])
199: (OnePair, ['5', 'J', 'A', '6', '4'])
200: (OnePair, ['5', '2', '6', '2', 'A'])
201: (OnePair, ['5', '2', 'A', '9', '9'])
202: (OnePair, ['5', '3', '4', '2', '4'])
203: (OnePair, ['5', '3', '6', '8', 'J'])
204: (OnePair, ['5', '6', '2', '3', 'J'])
205: (OnePair, ['5', '6', '7', '7', 'Q'])
206: (OnePair, ['5', '7', '3', '8', '5'])
207: (OnePair, ['5', '7', 'A', 'J', 'Q'])
208: (OnePair, ['5', '8', '2', '2', '6'])
209: (OnePair, ['5', '9', '2', '3', '5'])
210: (OnePair, ['5', '9', '6', 'J', '8'])
211: (OnePair, ['5', '9', '6', '7', 'J'])
212: (OnePair, ['5', '9', '6', '9', 'Q'])
213: (OnePair, ['5', 'K', '8', '8', 'T'])
214: (OnePair, ['5', 'A', '8', 'J', '2'])
215: (OnePair, ['5', 'A', 'A', '8', '6'])
216: (OnePair, ['6', 'J', '2', '3', '4'])
217: (OnePair, ['6', '2', '5', '9', '9'])
218: (OnePair, ['6', '2', 'Q', '5', 'J'])
219: (OnePair, ['6', '3', '9', '7', '9'])
220: (OnePair, ['6', '3', 'Q', 'Q', '7'])
221: (OnePair, ['6', '3', 'K', '8', '3'])
222: (OnePair, ['6', '4', 'A', '4', '8'])
223: (OnePair, ['6', '5', 'K', 'K', '3'])
224: (OnePair, ['6', '6', '8', '7', 'Q'])
225: (OnePair, ['6', '6', 'T', '5', '4'])
226: (OnePair, ['6', '6', 'Q', '4', '9'])
227: (OnePair, ['6', '6', 'A', 'Q', '7'])
228: (OnePair, ['6', '6', 'A', 'K', '4'])
229: (OnePair, ['6', '7', '4', '6', '9'])
230: (OnePair, ['6', '9', '6', '5', '7'])
231: (OnePair, ['6', '9', '6', 'T', '2'])
232: (OnePair, ['6', '9', '9', '8', '4'])
233: (OnePair, ['6', '9', '9', '8', '7'])
234: (OnePair, ['6', 'T', 'Q', 'Q', 'K'])
235: (OnePair, ['6', 'K', '3', '3', '9'])
236: (OnePair, ['6', 'A', '2', 'J', '4'])
237: (OnePair, ['6', 'A', 'T', '3', 'A'])
238: (OnePair, ['7', '2', '6', 'T', '2'])
239: (OnePair, ['7', '3', '6', 'Q', '6'])
240: (OnePair, ['7', '3', 'A', '4', '4'])
241: (OnePair, ['7', '4', '5', 'A', 'A'])
242: (OnePair, ['7', '4', 'T', 'T', 'Q'])
243: (OnePair, ['7', '5', '8', 'Q', '7'])
244: (OnePair, ['7', '6', '2', 'A', 'J'])
245: (OnePair, ['7', '6', '8', '4', '7'])
246: (OnePair, ['7', '7', '8', 'K', 'A'])
247: (OnePair, ['7', '7', 'Q', '9', '6'])
248: (OnePair, ['7', 'T', 'J', 'K', '2'])
249: (OnePair, ['7', 'T', '5', 'T', '8'])
250: (OnePair, ['8', 'J', '7', 'K', '3'])
251: (OnePair, ['8', 'J', 'Q', '4', '7'])
252: (OnePair, ['8', 'J', 'Q', 'K', '5'])
253: (OnePair, ['8', 'J', 'A', 'Q', '2'])
254: (OnePair, ['8', '2', '2', '4', '9'])
255: (OnePair, ['8', '2', 'A', 'T', '8'])
256: (OnePair, ['8', '3', 'J', '2', '7'])
257: (OnePair, ['8', '3', '4', '8', '5'])
258: (OnePair, ['8', '3', '6', '6', '7'])
259: (OnePair, ['8', '3', '9', '2', '2'])
260: (OnePair, ['8', '3', 'A', '2', 'J'])
261: (OnePair, ['8', '4', '5', 'Q', 'J'])
262: (OnePair, ['8', '7', 'J', 'A', '5'])
263: (OnePair, ['8', '7', '5', 'K', 'J'])
264: (OnePair, ['8', '9', 'J', '6', '4'])
265: (OnePair, ['8', '9', '5', 'K', '9'])
266: (OnePair, ['8', '9', '9', 'Q', 'K'])
267: (OnePair, ['8', 'T', 'K', 'J', '4'])
268: (OnePair, ['8', 'A', 'K', '4', '4'])
269: (OnePair, ['9', 'J', '6', 'K', '8'])
270: (OnePair, ['9', 'J', 'Q', 'A', '2'])
271: (OnePair, ['9', '2', 'Q', '2', 'T'])
272: (OnePair, ['9', '3', 'J', '8', 'T'])
273: (OnePair, ['9', '3', 'J', 'A', 'Q'])
274: (OnePair, ['9', '4', 'A', 'A', 'Q'])
275: (OnePair, ['9', '7', 'A', '3', '9'])
276: (OnePair, ['9', '9', '5', '6', '7'])
277: (OnePair, ['9', 'K', 'K', '8', 'Q'])
278: (OnePair, ['9', 'A', '9', 'T', '6'])
279: (OnePair, ['T', 'J', '5', '8', '4'])
280: (OnePair, ['T', '2', 'J', '5', 'A'])
281: (OnePair, ['T', '2', '8', 'A', 'A'])
282: (OnePair, ['T', '2', 'T', '4', '5'])
283: (OnePair, ['T', '3', 'Q', 'J', '8'])
284: (OnePair, ['T', '4', 'J', '6', '7'])
285: (OnePair, ['T', '4', 'A', '2', '2'])
286: (OnePair, ['T', '5', 'T', '9', 'A'])
287: (OnePair, ['T', '5', 'T', 'K', 'Q'])
288: (OnePair, ['T', '6', '7', 'Q', '6'])
289: (OnePair, ['T', '7', 'Q', 'K', 'K'])
290: (OnePair, ['T', '8', 'T', '6', '7'])
291: (OnePair, ['T', '9', '2', '2', '8'])
292: (OnePair, ['T', 'T', 'K', '7', 'Q'])
293: (OnePair, ['T', 'Q', '5', 'Q', '4'])
294: (OnePair, ['T', 'Q', '8', 'A', 'T'])
295: (OnePair, ['T', 'Q', 'T', '4', 'A'])
296: (OnePair, ['T', 'A', '4', 'J', '3'])
297: (OnePair, ['T', 'A', 'T', '4', '3'])
298: (OnePair, ['Q', 'J', '7', '4', '6'])
299: (OnePair, ['Q', 'J', '8', '5', '7'])
300: (OnePair, ['Q', 'J', 'A', '2', '3'])
301: (OnePair, ['Q', '4', '8', 'K', 'Q'])
302: (OnePair, ['Q', '5', '2', 'Q', '8'])
303: (OnePair, ['Q', '5', '7', 'J', 'T'])
304: (OnePair, ['Q', '7', '6', '2', 'J'])
305: (OnePair, ['Q', '8', '3', '8', 'T'])
306: (OnePair, ['Q', '8', '3', '9', '3'])
307: (OnePair, ['Q', 'T', '2', 'J', '5'])
308: (OnePair, ['Q', 'T', '7', 'T', '3'])
309: (OnePair, ['Q', 'K', '4', '7', '7'])
310: (OnePair, ['Q', 'A', 'Q', '5', 'T'])
311: (OnePair, ['K', '3', '9', 'A', '3'])
312: (OnePair, ['K', '3', 'Q', '6', '3'])
313: (OnePair, ['K', '4', 'J', 'Q', '5'])
314: (OnePair, ['K', '4', '9', 'J', 'A'])
315: (OnePair, ['K', '7', 'J', 'A', '6'])
316: (OnePair, ['K', '7', '5', '2', '5'])
317: (OnePair, ['K', '8', '5', 'T', 'K'])
318: (OnePair, ['K', '8', 'K', '6', '4'])
319: (OnePair, ['K', '9', '4', '8', '8'])
320: (OnePair, ['K', 'T', '2', 'J', 'Q'])
321: (OnePair, ['K', 'K', '6', '9', '8'])
322: (OnePair, ['K', 'K', '8', 'T', 'A'])
323: (OnePair, ['A', '3', '3', '8', '4'])
324: (OnePair, ['A', '3', 'Q', '8', 'A'])
325: (OnePair, ['A', '5', '8', 'T', 'T'])
326: (OnePair, ['A', '5', 'K', 'J', 'T'])
327: (OnePair, ['A', '5', 'A', '2', 'K'])
328: (OnePair, ['A', '6', '9', 'J', '5'])
329: (OnePair, ['A', '7', '5', 'J', '2'])
330: (OnePair, ['A', '7', 'K', '4', 'J'])
331: (OnePair, ['A', '8', '5', '5', '7'])
332: (OnePair, ['A', '9', 'J', '5', 'T'])
333: (OnePair, ['A', '9', '5', '7', '5'])
334: (OnePair, ['A', '9', '5', 'A', 'T'])
335: (OnePair, ['A', 'T', 'J', 'Q', '5'])
336: (OnePair, ['A', 'T', '9', 'Q', 'T'])
337: (OnePair, ['A', 'Q', 'J', 'T', '3'])
338: (OnePair, ['A', 'K', '4', 'A', '8'])
339: (OnePair, ['A', 'K', '7', '3', 'A'])
340: (TwoPair, ['2', '2', '4', '8', '8'])
341: (TwoPair, ['2', '2', '5', '5', 'K'])
342: (TwoPair, ['2', '2', 'A', '3', 'A'])
343: (TwoPair, ['2', '4', '2', '4', '9'])
344: (TwoPair, ['2', '4', '3', '3', '4'])
345: (TwoPair, ['2', '4', '3', '4', '2'])
346: (TwoPair, ['2', '5', '5', '2', 'Q'])
347: (TwoPair, ['2', '5', 'T', 'T', '2'])
348: (TwoPair, ['2', '5', 'A', 'A', '5'])
349: (TwoPair, ['2', '6', '6', '2', 'K'])
350: (TwoPair, ['2', '8', 'Q', '8', '2'])
351: (TwoPair, ['2', 'Q', '2', 'T', 'T'])
352: (TwoPair, ['3', '2', '8', '8', '3'])
353: (TwoPair, ['3', '3', '2', '2', 'Q'])
354: (TwoPair, ['3', '3', 'Q', 'K', 'Q'])
355: (TwoPair, ['3', '5', '8', '8', '5'])
356: (TwoPair, ['3', '6', '4', '3', '6'])
357: (TwoPair, ['3', '6', 'A', 'A', '6'])
358: (TwoPair, ['3', '9', '3', '9', '5'])
359: (TwoPair, ['3', 'Q', '3', '9', 'Q'])
360: (TwoPair, ['3', 'K', '6', '6', 'K'])
361: (TwoPair, ['3', 'A', '7', '7', 'A'])
362: (TwoPair, ['3', 'A', 'A', '9', '9'])
363: (TwoPair, ['4', '2', '4', 'Q', '2'])
364: (TwoPair, ['4', '3', '4', '8', '3'])
365: (TwoPair, ['4', '3', 'A', '3', 'A'])
366: (TwoPair, ['4', '4', '5', '5', 'T'])
367: (TwoPair, ['4', '4', 'K', 'K', '7'])
368: (TwoPair, ['4', '7', '4', '2', '2'])
369: (TwoPair, ['4', 'Q', 'Q', '4', '7'])
370: (TwoPair, ['4', 'Q', 'Q', '4', 'T'])
371: (TwoPair, ['4', 'K', 'A', 'K', 'A'])
372: (TwoPair, ['5', '2', '4', '5', '4'])
373: (TwoPair, ['5', '3', '9', '3', '5'])
374: (TwoPair, ['5', '4', '7', '4', '5'])
375: (TwoPair, ['5', '5', '8', '8', '9'])
376: (TwoPair, ['5', '8', 'A', '8', '5'])
377: (TwoPair, ['5', '9', '7', '9', '5'])
378: (TwoPair, ['5', 'T', '5', '2', 'T'])
379: (TwoPair, ['5', 'T', '8', '8', '5'])
380: (TwoPair, ['5', 'T', 'T', 'Q', '5'])
381: (TwoPair, ['5', 'A', 'A', '3', '5'])
382: (TwoPair, ['6', '2', '7', '6', '7'])
383: (TwoPair, ['6', '6', '2', '2', '7'])
384: (TwoPair, ['6', '6', '4', '9', '9'])
385: (TwoPair, ['6', '6', '8', 'T', '8'])
386: (TwoPair, ['6', '6', 'T', 'K', 'T'])
387: (TwoPair, ['6', '6', 'K', '5', '5'])
388: (TwoPair, ['6', '7', '6', '4', '7'])
389: (TwoPair, ['6', '7', 'Q', 'Q', '6'])
390: (TwoPair, ['6', '8', '8', 'Q', 'Q'])
391: (TwoPair, ['6', '9', '6', '5', '5'])
392: (TwoPair, ['6', '9', 'Q', '6', 'Q'])
393: (TwoPair, ['6', 'K', '6', 'K', '2'])
394: (TwoPair, ['7', '2', '7', '3', '2'])
395: (TwoPair, ['7', '2', 'A', 'A', '7'])
396: (TwoPair, ['7', '3', '8', '7', '8'])
397: (TwoPair, ['7', '4', '4', 'A', 'A'])
398: (TwoPair, ['7', '4', '5', '4', '7'])
399: (TwoPair, ['7', '4', '7', '8', '4'])
400: (TwoPair, ['7', '7', '2', 'T', '2'])
401: (TwoPair, ['7', '7', '3', 'T', 'T'])
402: (TwoPair, ['7', 'T', 'K', 'T', 'K'])
403: (TwoPair, ['7', 'K', 'Q', 'K', '7'])
404: (TwoPair, ['7', 'K', 'K', '2', '7'])
405: (TwoPair, ['8', '2', '9', '2', '9'])
406: (TwoPair, ['8', '4', '4', '8', 'T'])
407: (TwoPair, ['8', '4', '8', '9', '9'])
408: (TwoPair, ['8', '8', '3', '3', 'Q'])
409: (TwoPair, ['8', '8', 'T', 'T', 'A'])
410: (TwoPair, ['8', '8', 'Q', 'Q', '5'])
411: (TwoPair, ['8', 'Q', '5', 'Q', '5'])
412: (TwoPair, ['8', 'K', '8', '6', '6'])
413: (TwoPair, ['8', 'A', '7', '8', '7'])
414: (TwoPair, ['9', '2', '2', '7', '9'])
415: (TwoPair, ['9', '2', 'T', '9', '2'])
416: (TwoPair, ['9', '4', '4', 'T', '9'])
417: (TwoPair, ['9', '4', 'K', '9', '4'])
418: (TwoPair, ['9', '5', '4', '4', '9'])
419: (TwoPair, ['9', '5', '5', '4', '4'])
420: (TwoPair, ['9', '5', '5', '9', '8'])
421: (TwoPair, ['9', '6', '9', '7', '6'])
422: (TwoPair, ['9', '7', '4', '7', '4'])
423: (TwoPair, ['9', '8', '4', '9', '4'])
424: (TwoPair, ['9', '8', '8', '3', '9'])
425: (TwoPair, ['9', '8', '9', '8', 'T'])
426: (TwoPair, ['9', '9', 'K', 'K', '8'])
427: (TwoPair, ['9', 'Q', 'T', 'T', '9'])
428: (TwoPair, ['9', 'Q', 'Q', 'K', '9'])
429: (TwoPair, ['9', 'K', '6', 'K', '6'])
430: (TwoPair, ['9', 'K', '9', 'K', 'A'])
431: (TwoPair, ['T', '3', '3', 'A', 'A'])
432: (TwoPair, ['T', '3', '8', '8', '3'])
433: (TwoPair, ['T', '4', '4', 'K', 'K'])
434: (TwoPair, ['T', '4', 'Q', 'T', '4'])
435: (TwoPair, ['T', '6', '5', '5', 'T'])
436: (TwoPair, ['T', '6', '8', '6', 'T'])
437: (TwoPair, ['T', '6', 'T', 'A', '6'])
438: (TwoPair, ['T', '9', 'T', 'Q', 'Q'])
439: (TwoPair, ['T', 'T', '9', '4', '9'])
440: (TwoPair, ['T', 'T', '9', '9', 'K'])
441: (TwoPair, ['T', 'Q', 'K', 'K', 'T'])
442: (TwoPair, ['T', 'A', '9', 'T', 'A'])
443: (TwoPair, ['T', 'A', 'T', 'A', '4'])
444: (TwoPair, ['Q', '4', '4', '3', '3'])
445: (TwoPair, ['Q', '6', '4', '6', 'Q'])
446: (TwoPair, ['Q', '7', '3', '7', 'Q'])
447: (TwoPair, ['Q', '7', '9', '9', 'Q'])
448: (TwoPair, ['Q', '8', 'Q', '9', '8'])
449: (TwoPair, ['Q', 'T', 'T', 'A', 'A'])
450: (TwoPair, ['Q', 'Q', '4', '6', '4'])
451: (TwoPair, ['Q', 'Q', '8', 'T', '8'])
452: (TwoPair, ['Q', 'K', 'K', '6', 'Q'])
453: (TwoPair, ['Q', 'A', '4', 'A', 'Q'])
454: (TwoPair, ['K', '2', '5', '2', 'K'])
455: (TwoPair, ['K', '2', 'K', '2', '6'])
456: (TwoPair, ['K', '5', '5', '7', '7'])
457: (TwoPair, ['K', '6', '3', '3', '6'])
458: (TwoPair, ['K', '7', '7', 'Q', 'Q'])
459: (TwoPair, ['K', 'T', '6', 'T', 'K'])
460: (TwoPair, ['K', 'K', 'T', 'A', 'A'])
461: (TwoPair, ['K', 'A', '7', 'K', 'A'])
462: (TwoPair, ['A', '4', '4', 'K', 'A'])
463: (TwoPair, ['A', '7', '2', '2', '7'])
464: (TwoPair, ['A', '7', '3', 'A', '3'])
465: (TwoPair, ['A', '8', 'A', '4', '8'])
466: (TwoPair, ['A', '9', '2', '2', '9'])
467: (TwoPair, ['A', 'A', '8', '5', '8'])
468: (ThreeOfAKind, ['J', 'J', '8', '7', 'K'])
469: (ThreeOfAKind, ['J', '2', 'A', '8', '2'])
470: (ThreeOfAKind, ['J', '3', '6', '3', '4'])
471: (ThreeOfAKind, ['J', '3', '8', '6', '8'])
472: (ThreeOfAKind, ['J', '4', '5', 'A', '4'])
473: (ThreeOfAKind, ['J', '5', '2', '2', '3'])
474: (ThreeOfAKind, ['J', '5', '8', 'T', '8'])
475: (ThreeOfAKind, ['J', '6', 'T', '7', '7'])
476: (ThreeOfAKind, ['J', '7', '4', '7', '9'])
477: (ThreeOfAKind, ['J', '7', '7', '2', '5'])
478: (ThreeOfAKind, ['J', '7', '9', '9', 'T'])
479: (ThreeOfAKind, ['J', '7', 'K', '4', '7'])
480: (ThreeOfAKind, ['J', '8', '3', 'J', 'Q'])
481: (ThreeOfAKind, ['J', '8', 'A', '9', 'J'])
482: (ThreeOfAKind, ['J', '9', '2', 'A', 'A'])
483: (ThreeOfAKind, ['J', '9', '6', 'Q', '6'])
484: (ThreeOfAKind, ['J', '9', 'K', '9', '7'])
485: (ThreeOfAKind, ['J', '9', 'K', 'A', 'K'])
486: (ThreeOfAKind, ['J', 'T', '5', 'J', '6'])
487: (ThreeOfAKind, ['J', 'T', 'Q', '6', 'T'])
488: (ThreeOfAKind, ['J', 'K', '5', '5', '6'])
489: (ThreeOfAKind, ['J', 'K', 'Q', 'A', 'K'])
490: (ThreeOfAKind, ['J', 'A', 'J', 'K', '7'])
491: (ThreeOfAKind, ['2', 'J', '7', '4', 'J'])
492: (ThreeOfAKind, ['2', 'J', '9', '6', '9'])
493: (ThreeOfAKind, ['2', 'J', 'T', '2', '3'])
